vgg11	0.150953	8.877911	-10.971489	8.106889	6.962667	6.962667
vgg16	0.871301	-14.351028	2.737122	3.123644	4.458	4.458
vgg19	1.707132	-29.847272	5.026678	4.177022	3.694467	3.694467
lenet	-0.003773	0.655561	-0.290189	0.115422	0.0465	0.0465
googlenet	0.250613	-4.83755	2.1071	-0.4308	0.0578	0.0578
overfeat	-0.710599	107.457517	-33.249433	4.779333	0.5889	0.5889
alexnet	-0.124493	18.163678	-6.646222	2.310889	1.119733	1.119733
trivial	-0.007998	1.228	-0.5494	0.233467	-0.090033	-0.090033
inception3	0.437551	1.682139	0.628589	-0.295156	0.287067	0.287067
inception4	1.360935	-25.278028	13.404922	-3.868089	-1.287933	-1.287933
resnet50	0.778668	-2.590928	0.629122	0.393778	1.695433	1.695433
resnet101	1.741919	-33.731089	17.350111	-4.708978	0.6564	0.6564
resnet152	2.758344	-52.596122	23.485378	-5.452578	-1.126533	-1.126533
mobilenet	-1.34111	184.273644	-54.320756	1.765956	-0.464233	-0.464233
