27	99999
52	25
40	99999
29	99999
34	99999
180	90
200	160
45	99999
65	99999
60	99999
220	100
200	120
220	60
80	99999
220	80
220	50
160	99999
100	99999
220	99999
110	99999
180	160
200	97
220	99999
160	99999
100	99999
220	160
110	99999
180	99999
200	99999
220	99999
140	120
160	100
140	70
198	99999
220	160
210	140
205	99999
195	99999
177	99999
205	99999
196	99999
269	25
269	99999
252	99999
269	99999
269	90
252	160
269	99999
269	99999
252	99999
299	100
306	120
259	60
303	99999
264	80
234	50
278	99999
299	99999
240	99999
235	99999
