vgg11	-7.74	2.3719	8.795
vgg16	-7.03	3.6715	5.598
vgg19	-6.68	4.2738	5.652
lenet	-11.94	3.7612	7.619
googlenet	-0.89	1.4462	1.909
overfeat	-3.65	3.742	5.213
alexnet	-14.38	1.639	15.734
trivial	-19.65	2.291	21.532
inception3	-1.837	1.477	2.813
inception4	-4.806	2.853	5.236
resnet50	-1.975	1.884	2.799
resnet101	-2.433	2.349	3.395
resnet152	-3.975	2.784	4.817
mobilenet	2.723	2.212	3.671
